2015-04-17 10:10:21, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-17 10:10:21, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-17 10:10:21, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015041749565250&signMethod=01&txnAmt=2001&txnSubType=01&txnTime=20150417101021&txnType=01&version=5.0.0 
2015-04-17 10:10:21, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >b458f34d38c6b5c6bd5553239c0b2da89d496cfc 
2015-04-17 10:10:21, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >W3HvSZO/JleUeIoAr9RsrHTJyZaqIpxby2gde8yDiBYC2Mt7vi98hHWd7P33dtBVrb4Ye/+Mtamqo37NOzG8ORZ/sOBMH9YbD5BAFGa5sXcyR7caNhh99E5GnoMmph8jnibwZB0F7XqMxy+nbF5D5NnDndZd+ynp1dyCzuY8KykNlaX+0QaBEdxNx0nKrlGxxPVLXO3DLZpiJlNmt6B+Q6nFE3LxmyUbQxtDuAEjQQqJKrlSjDwKpmuN9Md+FbGzo9fzSbiO3fL0I7qJqu3X9dC8ecFBpjuS5NWT/rdhVV0XB0sg/dc+GsBZZdu4ejEukAkRlKetDTuZKGv5gvCZwQ== 
2015-04-17 10:10:21, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-17 10:10:21, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-17 10:10:22, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015041749565250&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504171010211822668&txnSubType=01&txnTime=20150417101021&txnType=01&version=5.0.0&signature=fEvBHJCKCjgvF5r6pY58a8HTmCr7ZttcjeanshDvCkH8C12hcy5dKZxKQMNbHWmO6V3H6c6vhe/ckWKjlF4pcEFACUHVxxYi+Fytt2JdOw6Tmims4u5j6HxXpLRRIoLQS2EguwfvkcUPeWhkm9hgLcEKA3MYW49JskGT0+j7Pq2QnAgWOKwwldy+ztlMty+s02gVIgqisZEp2wBU4eT9B0uhCf5zvvAdFS2wMP5s/kw/2459Ga0AQqYcrh/2fk90haHDJ60JZqsOhw97MokenvV/U1c/9+b1IOeLHFR3wS6nPS3IeopKk9IE1V/o4vL6r7SEVo83af7Hmp7FepIgnw== 
2015-04-17 10:10:32, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-17 10:10:32, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-17 10:10:32, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015041749565250&signMethod=01&txnAmt=2001&txnSubType=01&txnTime=20150417101032&txnType=01&version=5.0.0 
2015-04-17 10:10:32, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >ecc29d37145bcb46f016fee2153c76a6c272c642 
